domain	kind	code	terminal	severity	allowed_parent_status	requires_reason	forbids_winner	introduced_in	description	test_id
parse	status	OK	false	info	.	false	false	1.0.0	Value parsed successfully	parse_ok
parse	status	OK_EMPTY	false	info	.	false	false	1.0.0	Valid input contains zero logical records	parse_ok_empty
parse	status	ERROR	true	error	.	true	true	1.0.0	Input cannot be parsed	parse_error
parse	reason	NONE	false	info	.	false	false	1.0.0	No failure reason	status_none
parse	reason	MISSING_REQUIRED_FIELD	true	error	ERROR	true	true	1.0.0	A required field or tag is absent	parse_missing
parse	reason	MALFORMED_VALUE	true	error	ERROR	true	true	1.0.0	A field is syntactically malformed	parse_malformed
parse	reason	UNSUPPORTED_VALUE	true	error	ERROR	true	true	1.0.0	A value is outside the frozen contract	parse_unsupported
parse	reason	INDEX_ERROR	true	error	ERROR	true	true	1.0.0	Required index cannot be opened or queried	parse_index
parse	reason	IO_ERROR	true	error	ERROR	true	true	1.0.0	Underlying reader reported an I/O error	parse_io
join	status	EXACT_MATCH	false	info	.	false	false	1.0.0	Projection maps to one distinct full identity	join_exact
join	status	ERROR	true	error	.	true	true	1.0.0	Exact latest-tag join failed	join_error
join	reason	MISSING_PROJECTION	true	error	ERROR	true	true	1.0.0	Sidecar lacks the read projection	join_missing
join	reason	FULL_IDENTITY_MISMATCH	true	error	ERROR	true	true	1.0.0	Projection exists but FLAG or CIGAR does not match the required full alignment identity	join_full_identity_mismatch
join	reason	CONFLICTING_TAGS	true	error	ERROR	true	true	1.0.0	One identity has conflicting HP or PS	join_conflicting_tags
join	reason	MULTIPLE_FULL_IDENTITIES	true	error	ERROR	true	true	1.0.0	Projection maps to multiple distinct full identities	join_multimatch
run	status	RUNNING	false	info	.	false	true	1.0.0	Run is active	run_running
run	status	FAILED	true	error	RUNNING	true	true	1.0.0	Run terminated without validation	run_failed
run	status	VALIDATED	false	info	RUNNING	false	false	1.0.0	Independent validator passed	run_validated
run	status	VALIDATED_FROZEN	true	info	VALIDATED	false	false	1.0.0	Validated staging root was atomically frozen	run_frozen
run	status	VALIDATED_FROZEN_DATASET_GATE	true	info	VALIDATED	false	false	1.0.0	Validated single-dataset staging root was atomically frozen without a production claim	run_frozen_dataset_gate
run	reason	WORKER_ERROR	true	error	FAILED	true	true	1.0.0	A worker failed	run_worker_error
run	reason	VALIDATOR_REJECTED	true	error	FAILED	true	true	1.0.0	Independent validation failed	run_validator_rejected
run	reason	KERNEL_NOT_VERIFIED	true	error	FAILED	true	true	1.0.0	Required scientific phase is not verified	run_kernel_blocked
topology_objective	status	OBJECTIVE_CERTIFIED	false	info	.	false	false	1.0.0	Minimum hidden objective is certified	topology_objective_certified
topology_objective	status	ABSTAIN_DEPENDENCY_UNAVAILABLE	true	warning	.	true	true	1.0.0	A dependency required to certify the objective is unavailable	topology_objective_dependency
topology_objective	status	ABSTAIN_KERNEL_NOT_VERIFIED	true	warning	.	true	true	1.0.0	The required objective kernel is not verified	topology_objective_kernel
topology_objective	status	ABSTAIN_NOT_IDENTIFIABLE	true	warning	.	true	true	1.0.0	The declared model cannot identify an objective	topology_objective_not_identifiable
topology_objective	status	ABSTAIN_RESOURCE_LIMIT	true	warning	.	true	true	2.0.0	Search stopped before an exhaustive objective proof	topology_objective_resource
topology_objective	status	ABSTAIN_DIFFERENTIAL_MISMATCH	true	error	.	true	true	2.0.0	Independent exact kernels disagree on the objective	topology_objective_differential
topology_objective	reason	NONE	false	info	OBJECTIVE_CERTIFIED	false	false	2.0.0	Certified objective has no failure reason	topology_objective_reason_none
topology_objective	reason	DEPENDENCY_UNAVAILABLE	true	warning	ABSTAIN_DEPENDENCY_UNAVAILABLE	true	true	2.0.0	Objective dependency is unavailable	topology_objective_reason_dependency
topology_objective	reason	SOLVER_ROUTE_NOT_VERIFIED	true	warning	ABSTAIN_KERNEL_NOT_VERIFIED	true	true	2.0.0	Required exact objective route is outside its verified boundary	topology_objective_reason_kernel
topology_objective	reason	MODEL_NOT_IDENTIFIABLE	true	warning	ABSTAIN_NOT_IDENTIFIABLE	true	true	2.0.0	Declared constraints do not identify an objective	topology_objective_reason_model
topology_objective	reason	SEARCH_RESOURCE_LIMIT_REACHED	true	warning	ABSTAIN_RESOURCE_LIMIT	true	true	2.0.0	Node or state-space limit stopped objective proof	topology_objective_reason_resource
topology_objective	reason	DIFFERENTIAL_CHECK_FAILED	true	error	ABSTAIN_DIFFERENTIAL_MISMATCH	true	true	2.0.0	Oracle B-and-B or DP objective results differ	topology_objective_reason_differential
topology_family	status	FAMILY_COMPLETE	false	info	OBJECTIVE_CERTIFIED	false	false	1.0.0	All minimum vertex sets were enumerated	topology_family_complete
